x,y
14866717.995441686,4189542.8054886307
14992509.020038087,4207225.114759272
15486767.55916022,4128555.3563260976
15475635.610080892,4169175.8055822533
15443352.957750842,4186825.0031270036
15395485.576709738,4289213.127610478
15304203.59425925,4261814.265100191
15226279.95070396,4296073.822926359
15311995.958614781,4291956.876805611
15315335.54333858,4305686.213584878
15317561.933154441,4353878.975625563
15365429.314195553,4402292.531957184
15375448.068366947,4396748.257479413
15376561.263274878,4385668.487370084
15376561.263274878,4375983.260434894
15421089.05959219,4330443.7210824145
15423315.449408054,4360781.591002363
15419975.864684256,4371835.175638219
15460050.881369831,4340087.251453738
15493446.728607817,4348360.128099744
15504578.677687144,4406452.6629308695
15515710.626766471,4385668.487370084
15529068.965661664,4381516.583871813
15529068.965661664,4382900.369562477
15560238.42308378,4399520.028331172
15581389.126334501,4430058.030350487
15537974.524925128,4473241.215724082
15593634.270321762,4496998.866405384
15615898.168480417,4499797.478358743
15612558.583756618,4515203.436754551
15634822.48191527,4574239.706755755
15604766.21940109,4637874.51429844
15665991.93933739,4656332.6311017
15671557.913877053,4687646.773366133
15588068.295782097,4706196.643835643
15673784.30369292,4802351.680589791
15696048.201851575,4816783.650175864
15679350.278232582,4831236.825280604
15670444.718969123,4834130.014297358
15571370.372163108,4828344.4887299705
15554672.448544115,4831236.825280604
15618124.558296284,4933011.800455826
15687142.64258811,4906739.30106527
15682689.862956379,4933011.800455826
15704953.761115035,5031437.584386689
15703840.566207103,5047694.062784037
15515710.626766471,4102906.5611470006
15504578.677687144,4074627.0086171636
15503465.482779212,4054471.360218737
15490107.143884016,4034352.098935126
15532408.55038546,4015606.71451017
15549106.474004453,3924998.267749233
15559125.228175847,3889220.4475745675
15559125.228175847,3799601.4109596764
15575823.151794838,3730224.1207722723
15590294.685597965,3652168.951240251
15620350.948112147,3543729.480102151
15673784.30369292,3382822.4397242568
15682689.862956379,3133936.039752083
16083440.029812165,2996378.3314213576
15707180.1509309,2995145.1658552946
15721651.684734026,2910311.292467673
15732783.633813355,2827186.063729395
15753934.337064076,2770000.887295984
15796235.74356552,2676773.5959114153
15841876.734790761,2624952.240634996
15967667.759387162,2485978.4871536745
15998837.216809276,2468092.638248601
15907555.234358795,2376572.7231493946
15940951.081596775,2293786.7898828792
16130194.215945343,2320945.443417339
16144665.749748467,2309132.2871164232
16152458.114103995,2273739.239797601
16185853.961341979,2219602.831373859
16215910.22385616,2114133.761590022
16230381.757659288,2039481.1597939248
16233721.342383087,1977868.7657038504
16235947.732198948,1945392.9936228022
16228155.367843423,1874814.2565901056
16215910.22385616,1833268.8201865882
16204778.274776833,1749259.6413292517
16169156.037722986,1678147.5163917788
15514597.431858538,5058053.546747119
15714972.515286429,5102579.686405743
15660425.964797726,5142833.101495251
15634822.48191527,5150306.33614841
15677123.888416719,5211812.396687471
15654859.990258062,5264640.070291643
15676010.693508783,5257074.853457316
15687142.64258811,5248004.725112257
15716085.710194362,5207298.220944722
15732783.633813355,5237434.086523749
15723878.074549891,5619582.866719109
15883064.946384273,5346741.341844157
15905328.844542926,5386534.515773617
15922026.768161919,5351324.054446972
15927592.742701583,5325385.521582211
16032233.064047262,5340634.614081844
16077874.055272501,5366616.319912725
16093458.783983558,5369677.837509485
16155797.698827794,5446551.322824536
16160250.478459522,5455819.938477511
16200325.495145103,5412647.080481356
16219249.808579959,5432666.120787883
16267117.189621067,5502305.894113894
16282701.918332126,5491437.764950289
16356172.782255689,5508522.138230265
16363965.146611214,5531871.341784556
16378436.680414341,5559970.700242746
16405153.358204728,5564662.498171207
16387342.239677802,5596004.184296019
16460813.103601364,5594434.486458659
16477511.027220353,5606999.8084809575
16466379.078141024,5651118.597504674
16514246.459182136,5630607.650402185
16567679.814762905,5651118.597504674
16569906.20457877,5670093.955753908
16662301.381937187,5712937.9058807865
16678999.30555618,5730452.674744048
16689018.059727572,5738425.470100234
16703489.5935307,5755991.121753585
16753583.364387672,5765587.223209022
16795884.77088912,5834669.037763181
16840412.567206427,5824996.82903014
16896072.312603064,5881570.334791589
16892732.727879263,5883192.150924536
16914996.626037918,5897802.180843798
16933920.939472776,5914064.540691977
16946166.083460037,5930357.578241318
16973995.95615835,5967948.886057384
17009618.193212204,5995839.822599315
17022976.53210739,6008996.432357133
17034108.481186725,6037021.594836764
17068617.523332637,6088364.565003825
17054145.98952951,6090025.959357119
17059711.964069176,6123322.338895113
17085315.446951628,6239212.9169928385
17135409.217808604,6235831.199150632
17145427.971979998,6203772.6778753195
17163239.09050692,6222317.948877453
17199974.522468697,6262923.249797659
17221125.225719422,6302022.526385976
17233370.369706683,6339594.234746537
17252294.683141537,6448137.404412338
17282350.945655722,6460286.324911103
17295709.284550916,6436006.383618079
17302388.45399851,6456813.3741493
17305728.03872231,6470713.985666111
17362500.979026876,6509062.424564888
17368066.953566544,6531807.4879906345
17315746.792893704,6563405.476271273
17445990.597121835,6605727.473344838
17462688.520740826,6641164.835923819
17449330.18184563,6651826.296632618
17427066.283686977,6694613.108154592
17469367.690188423,6664282.4262019
17499423.952702604,6674974.386043
17512782.291597795,6689252.357863008
17516121.876321595,6703555.608260259
17507216.317058135,6721470.397725045
17536159.384664387,6730442.744659527
17519461.461045396,6744819.325783565
17536159.384664387,6770040.343050048
17555083.69809924,6777260.914754514
17571781.62171823,6786295.774328534
17530593.410124723,6780873.637836789
17512782.291597795,6793530.996447657
17525027.43558506,6806208.371654883
17513895.486505732,6826170.600369948
17543951.749019913,6811647.680294891
17610743.443495877,6848004.558199588
17565102.45227064,6813461.604644638
17569555.23190237,6829805.453795156
17580687.180981696,6844361.41920285
17591819.130061023,6868071.600489095
17515008.681413665,6864419.291006361
17479386.444359817,6869898.382760804
17541725.35920405,6880867.877345677
17621875.392575208,6890020.675083168
17618535.807851408,6915704.655004163
17646365.680549726,6934101.303435456
17621875.392575208,6926737.529100344
17563989.257362705,6930418.562427355
17665289.993984584,7008117.878853027
17680874.72269564,6996971.150557766
17599611.49441655,7065961.600670771
17635233.7314704,7065961.600670771
17690893.476867035,7067834.619472496
17716496.95974949,7058473.982117751
17630780.95183867,7116690.514357427
17596271.909692753,7116690.514357427
17749892.80698747,7131784.517657449
17747666.417171605,7145015.67716106
17774383.09496199,7160164.451461166
17813344.91673964,7196260.947054687
17788854.628765117,7236352.443961075
17807778.94219997,7230612.432847558
17838948.39962209,7228700.036427621
17841174.789437957,7247845.190515933
17870117.85704421,7278575.8842127435
17889042.170479063,7321030.388120375
17891268.56029493,7332649.40540733
17896834.534834594,7340405.127498016
17846740.763977617,7352053.324753762
17876797.026491802,7371506.119624009
18005927.635812003,7507087.485742268
17847853.958885554,7489266.541373499
17870117.85704421,7475434.416188974
17877910.221399732,7495202.248549102
17876797.026491802,7518991.211790594
17876797.026491802,7526937.335492544
17882363.001031466,7534891.7286948785
17863438.687596608,7542854.412421022
17903513.70428219,7598827.114677058
17907966.48391392,7628982.572371285
17962513.034402624,7653193.383122612
18627090.394438468,7408602.176548037
17519461.461045396,7278575.8842127435
17558423.282823037,7459656.771582044
17586253.15552136,7487288.994073756
17563989.257362705,7499161.94429348
17640799.706010062,7365665.131133214
17660837.214352854,7410559.558704576
17630780.95183867,7439980.224053219
17677535.137971845,7453748.510274564
17630780.95183867,7538872.0329256365
17566215.64717857,7616906.037309763
17629667.756930735,7596820.9941994455
17663063.604168717,7588801.793892349
17680874.72269564,7586798.31252869
17703138.620854296,7596820.9941994455
17683101.112511504,7602840.942480257
17646365.680549726,7637044.270122908
17694233.06159083,7687624.813317012
17758798.366250932,7626968.483658575
17772156.705146126,7663304.055261141
17774383.09496199,7687624.813317012
17788854.628765117,7693717.21963593
17805552.55238411,7699814.531668185
17786628.23894925,7718135.997577086
17803326.16256824,7744678.960838022
17855646.32324108,7750817.527284169
17820024.086187236,7771315.550966023
17833382.425082423,7791869.446901781
17792194.213488914,7785697.389772894
17807778.94219997,7789811.532628468
17822250.476003096,7806290.61434693
17833382.425082423,7812479.581913365
17852306.73851728,7816608.390120454
17870117.85704421,7833146.326172216
17855646.32324108,7868410.768702366
17875683.831583872,7868410.768702366
17885702.585755263,7889232.233611491
